measured time starting at queue size; seconds
0;0,0078901
100000;0,00583798
200000;0,00558136
300000;0,00462518
400000;0,00425068
500000;0,0049162
600000;0,01293776
700000;0,00518396
800000;0,00481462
900000;0,00438018
1000000;0,0044284
1100000;0,00434784
1200000;0,00510938
1300000;0,00448498
1400000;0,00440168
1500000;0,00421484
1600000;0,0042219
1700000;0,00422598
1800000;0,00562086
1900000;0,00484706
2000000;0,00436314
2100000;0,00443816
2200000;0,00422184
2300000;0,00437612
2400000;0,00431968
2500000;0,0042242
2600000;0,00412566
2700000;0,00546008
2800000;0,00438198
2900000;0,0044872
3000000;0,00457124
3100000;0,00427184
3200000;0,0042656
3300000;0,00414612
3400000;0,00413088
3500000;0,00408466
3600000;0,00414712
3700000;0,00408306
3800000;0,00430702
3900000;0,00425044
4000000;0,00414406
4100000;0,02373554
4200000;0,00408392
4300000;0,00410986
4400000;0,00400572
4500000;0,004173
4600000;0,004083
4700000;0,00412236
4800000;0,00415496
4900000;0,00407024
